domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
23,2,0,0,0,1,7,0,3.068
20,3,0,0,2,2,6,0,3.461
16,1,0,0,0,1,5,0,2.960
39,4,0,2,8,4,4,0,4.043
11,2,0,0,0,1,7,0,2.982
27,3,0,0,2,2,6,0,3.552
18,2,1,0,1,1,7,0,3.049
32,4,0,1,3,3,5,0,3.888
14,1,0,0,0,1,5,0,2.974
48,5,0,2,10,4,4,0,4.112
24,2,0,0,0,1,7,0,3.071
21,3,0,0,2,2,6,0,3.464
17,1,0,0,0,1,5,0,2.963
42,4,0,2,8,4,4,0,4.037
12,2,0,0,0,1,7,0,2.980
28,3,0,0,2,2,6,0,3.547
19,2,1,0,1,1,7,0,3.046
33,4,0,1,3,3,5,0,3.885
15,1,0,0,0,1,5,0,2.976
49,5,0,2,10,4,4,0,4.109
25,2,0,0,0,1,7,0,3.074
22,3,0,0,2,2,6,0,3.467
18,1,0,0,0,1,5,0,2.966
43,4,0,2,8,4,4,0,4.031
13,2,0,0,0,1,7,0,2.978
29,3,0,0,2,2,6,0,3.542
20,2,1,0,1,1,7,0,3.043
34,4,0,1,3,3,5,0,3.882
16,1,0,0,0,1,5,0,2.979
50,5,0,2,10,4,4,0,4.106
26,2,0,0,0,1,7,0,3.077
23,3,0,0,2,2,6,0,3.470
19,1,0,0,0,1,5,0,2.969
44,4,0,2,8,4,4,0,4.025
14,2,0,0,0,1,7,0,2.976
30,3,0,0,2,2,6,0,3.537
21,2,1,0,1,1,7,0,3.040
35,4,0,1,3,3,5,0,3.879
17,1,0,0,0,1,5,0,2.981
51,5,0,2,10,4,4,0,4.103
27,2,0,0,0,1,7,0,3.080
24,3,0,0,2,2,6,0,3.473
20,1,0,0,0,1,5,0,2.972
45,4,0,2,8,4,4,0,4.020
15,2,0,0,0,1,7,0,2.974
31,3,0,0,2,2,6,0,3.532
22,2,1,0,1,1,7,0,3.037
36,4,0,1,3,3,5,0,3.876
18,1,0,0,0,1,5,0,2.983
52,5,0,2,10,4,4,0,4.100
28,2,0,0,0,1,7,0,3.083
25,3,0,0,2,2,6,0,3.476
21,1,0,0,0,1,5,0,2.975
46,4,0,2,8,4,4,0,4.015
16,2,0,0,0,1,7,0,2.972
32,3,0,0,2,2,6,0,3.527
23,2,1,0,1,1,7,0,3.034
37,4,0,1,3,3,5,0,3.873
19,1,0,0,0,1,5,0,2.985
53,5,0,2,10,4,4,0,4.097
29,2,0,0,0,1,7,0,3.086
26,3,0,0,2,2,6,0,3.479
22,1,0,0,0,1,5,0,2.977
47,4,0,2,8,4,4,0,4.010
17,2,0,0,0,1,7,0,2.970
33,3,0,0,2,2,6,0,3.522
24,2,1,0,1,1,7,0,3.031
38,4,0,1,3,3,5,0,3.870
20,1,0,0,0,1,5,0,2.987
54,5,0,2,10,4,4,0,4.094
30,2,0,0,0,1,7,0,3.089
27,3,0,0,2,2,6,0,3.482
23,1,0,0,0,1,5,0,2.979
48,4,0,2,8,4,4,0,4.005
18,2,0,0,0,1,7,0,2.968
34,3,0,0,2,2,6,0,3.517
25,2,1,0,1,1,7,0,3.028
39,4,0,1,3,3,5,0,3.867
21,1,0,0,0,1,5,0,2.989
55,5,0,2,10,4,4,0,4.091
26,4,0,1,3,3,5,0,3.870
17,2,1,0,1,1,7,0,3.035
21,3,0,0,2,2,6,0,3.455
15,1,0,0,0,1,5,0,2.957
42,5,0,2,10,4,4,0,4.114
19,2,0,0,0,1,7,0,3.083
27,3,0,0,2,2,6,0,3.561
20,4,0,0,1,2,7,0,3.446
37,5,0,1,4,3,5,0,3.980
22,2,0,0,0,1,7,0,3.051
23,3,0,0,2,2,6,0,3.460
16,1,0,0,0,1,5,0,2.959
41,4,0,2,8,4,4,0,4.046
13,2,0,0,0,1,7,0,2.984
28,3,0,0,2,2,6,0,3.554
18,2,1,0,1,1,7,0,3.050
32,4,0,1,3,3,5,0,3.887
14,1,0,0,0,1,5,0,2.971
48,5,0,2,10,4,4,0,4.111
24,2,0,0,0,1,7,0,3.067
21,3,0,0,2,2,6,0,3.463
17,1,0,0,0,1,5,0,2.961
40,4,0,2,8,4,4,0,4.039
12,2,0,0,0,1,7,0,2.981
29,3,0,0,2,2,6,0,3.549
19,2,1,0,1,1,7,0,3.047
33,4,0,1,3,3,5,0,3.884
15,1,0,0,0,1,5,0,2.973
49,5,0,2,10,4,4,0,4.108
25,2,0,0,0,1,7,0,3.073
22,3,0,0,2,2,6,0,3.466
18,1,0,0,0,1,5,0,2.964
43,4,0,2,8,4,4,0,4.033
14,2,0,0,0,1,7,0,2.977
30,3,0,0,2,2,6,0,3.544
20,2,1,0,1,1,7,0,3.044
34,4,0,1,3,3,5,0,3.881
16,1,0,0,0,1,5,0,2.978
50,5,0,2,10,4,4,0,4.105
26,2,0,0,0,1,7,0,3.076
23,3,0,0,2,2,6,0,3.469
19,1,0,0,0,1,5,0,2.967
44,4,0,2,8,4,4,0,4.028
15,2,0,0,0,1,7,0,2.975
31,3,0,0,2,2,6,0,3.539
21,2,1,0,1,1,7,0,3.041
35,4,0,1,3,3,5,0,3.878
17,1,0,0,0,1,5,0,2.980
51,5,0,2,10,4,4,0,4.102
27,2,0,0,0,1,7,0,3.079
24,3,0,0,2,2,6,0,3.472
20,1,0,0,0,1,5,0,2.973
45,4,0,2,8,4,4,0,4.023
16,2,0,0,0,1,7,0,2.971
32,3,0,0,2,2,6,0,3.534
22,2,1,0,1,1,7,0,3.038
36,4,0,1,3,3,5,0,3.875
18,1,0,0,0,1,5,0,2.982
52,5,0,2,10,4,4,0,4.099
28,2,0,0,0,1,7,0,3.082
25,3,0,0,2,2,6,0,3.475
21,1,0,0,0,1,5,0,2.976
46,4,0,2,8,4,4,0,4.018
17,2,0,0,0,1,7,0,2.969
33,3,0,0,2,2,6,0,3.529
23,2,1,0,1,1,7,0,3.035
37,4,0,1,3,3,5,0,3.872
19,1,0,0,0,1,5,0,2.984
53,5,0,2,10,4,4,0,4.096
29,2,0,0,0,1,7,0,3.085
26,3,0,0,2,2,6,0,3.478
22,1,0,0,0,1,5,0,2.978
47,4,0,2,8,4,4,0,4.013
18,2,0,0,0,1,7,0,2.967
34,3,0,0,2,2,6,0,3.524
24,2,1,0,1,1,7,0,3.032
38,4,0,1,3,3,5,0,3.869
20,1,0,0,0,1,5,0,2.986
54,5,0,2,10,4,4,0,4.093
30,2,0,0,0,1,7,0,3.088
27,3,0,0,2,2,6,0,3.481
23,1,0,0,0,1,5,0,2.979
48,4,0,2,8,4,4,0,4.009
19,2,0,0,0,1,7,0,2.966
35,3,0,0,2,2,6,0,3.519
25,2,1,0,1,1,7,0,3.029
39,4,0,1,3,3,5,0,3.866
21,1,0,0,0,1,5,0,2.988
55,5,0,2,10,4,4,0,4.090
29,4,0,1,3,3,5,0,3.865
18,2,1,0,1,1,7,0,3.032
24,3,0,0,2,2,6,0,3.453
16,1,0,0,0,1,5,0,2.956
43,5,0,2,10,4,4,0,4.113
20,2,0,0,0,1,7,0,3.082
28,3,0,0,2,2,6,0,3.559
21,4,0,0,1,2,7,0,3.444
38,5,0,1,4,3,5,0,3.977
23,2,0,0,0,1,7,0,3.050
24,3,0,0,2,2,6,0,3.459
17,1,0,0,0,1,5,0,2.958
42,4,0,2,8,4,4,0,4.045
14,2,0,0,0,1,7,0,2.983
29,3,0,0,2,2,6,0,3.551
19,2,1,0,1,1,7,0,3.046
33,4,0,1,3,3,5,0,3.883
15,1,0,0,0,1,5,0,2.970
49,5,0,2,10,4,4,0,4.107
26,2,0,0,0,1,7,0,3.066
22,3,0,0,2,2,6,0,3.462
18,1,0,0,0,1,5,0,2.960
41,4,0,2,8,4,4,0,4.038
13,2,0,0,0,1,7,0,2.980
30,3,0,0,2,2,6,0,3.546
20,2,1,0,1,1,7,0,3.043
34,4,0,1,3,3,5,0,3.880
16,1,0,0,0,1,5,0,2.972
50,5,0,2,10,4,4,0,4.104
27,2,0,0,0,1,7,0,3.072
23,3,0,0,2,2,6,0,3.465
19,1,0,0,0,1,5,0,2.963
44,4,0,2,8,4,4,0,4.032
15,2,0,0,0,1,7,0,2.974
31,3,0,0,2,2,6,0,3.538
21,2,1,0,1,1,7,0,3.040
35,4,0,1,3,3,5,0,3.877
17,1,0,0,0,1,5,0,2.977
51,5,0,2,10,4,4,0,4.101
28,2,0,0,0,1,7,0,3.075
24,3,0,0,2,2,6,0,3.468
20,1,0,0,0,1,5,0,2.970
45,4,0,2,8,4,4,0,4.022
16,2,0,0,0,1,7,0,2.969
32,3,0,0,2,2,6,0,3.533
22,2,1,0,1,1,7,0,3.037
36,4,0,1,3,3,5,0,3.874
18,1,0,0,0,1,5,0,2.981
52,5,0,2,10,4,4,0,4.098
29,2,0,0,0,1,7,0,3.081
25,3,0,0,2,2,6,0,3.471
21,1,0,0,0,1,5,0,2.973
46,4,0,2,8,4,4,0,4.017
17,2,0,0,0,1,7,0,2.968
33,3,0,0,2,2,6,0,3.528
23,2,1,0,1,1,7,0,3.034
37,4,0,1,3,3,5,0,3.871
19,1,0,0,0,1,5,0,2.983
53,5,0,2,10,4,4,0,4.095
30,2,0,0,0,1,7,0,3.084
26,3,0,0,2,2,6,0,3.477
22,1,0,0,0,1,5,0,2.977
47,4,0,2,8,4,4,0,4.012
18,2,0,0,0,1,7,0,2.966
34,3,0,0,2,2,6,0,3.523
24,2,1,0,1,1,7,0,3.031
38,4,0,1,3,3,5,0,3.868
20,1,0,0,0,1,5,0,2.985
54,5,0,2,10,4,4,0,4.092
31,2,0,0,0,1,7,0,3.087
27,3,0,0,2,2,6,0,3.480
23,1,0,0,0,1,5,0,2.978
48,4,0,2,8,4,4,0,4.008
19,2,0,0,0,1,7,0,2.965
35,3,0,0,2,2,6,0,3.518
25,2,1,0,1,1,7,0,3.028
39,4,0,1,3,3,5,0,3.865
21,1,0,0,0,1,5,0,2.987
55,5,0,2,10,4,4,0,4.089
32,4,0,1,3,3,5,0,3.864
19,2,1,0,1,1,7,0,3.031
25,3,0,0,2,2,6,0,3.451
17,1,0,0,0,1,5,0,2.955
44,5,0,2,10,4,4,0,4.112
21,2,0,0,0,1,7,0,3.081
29,3,0,0,2,2,6,0,3.557
22,4,0,0,1,2,7,0,3.442
39,5,0,1,4,3,5,0,3.976
24,2,0,0,0,1,7,0,3.049
25,3,0,0,2,2,6,0,3.458
18,1,0,0,0,1,5,0,2.957
43,4,0,2,8,4,4,0,4.044
15,2,0,0,0,1,7,0,2.982
30,3,0,0,2,2,6,0,3.549
20,2,1,0,1,1,7,0,3.045
34,4,0,1,3,3,5,0,3.879
16,1,0,0,0,1,5,0,2.969
50,5,0,2,10,4,4,0,4.106
27,2,0,0,0,1,7,0,3.065
23,3,0,0,2,2,6,0,3.461
19,1,0,0,0,1,5,0,2.961
42,4,0,2,8,4,4,0,4.037
14,2,0,0,0,1,7,0,2.979
31,3,0,0,2,2,6,0,3.545
21,2,1,0,1,1,7,0,3.042
35,4,0,1,3,3,5,0,3.876
17,1,0,0,0,1,5,0,2.971
51,5,0,2,10,4,4,0,4.103
28,2,0,0,0,1,7,0,3.071
24,3,0,0,2,2,6,0,3.464
20,1,0,0,0,1,5,0,2.964
45,4,0,2,8,4,4,0,4.031
16,2,0,0,0,1,7,0,2.973
32,3,0,0,2,2,6,0,3.537
22,2,1,0,1,1,7,0,3.039
36,4,0,1,3,3,5,0,3.873
18,1,0,0,0,1,5,0,2.976
52,5,0,2,10,4,4,0,4.100
29,2,0,0,0,1,7,0,3.074
25,3,0,0,2,2,6,0,3.467
21,1,0,0,0,1,5,0,2.970
46,4,0,2,8,4,4,0,4.021
17,2,0,0,0,1,7,0,2.968
33,3,0,0,2,2,6,0,3.532
23,2,1,0,1,1,7,0,3.036
37,4,0,1,3,3,5,0,3.870
19,1,0,0,0,1,5,0,2.980
53,5,0,2,10,4,4,0,4.097
30,2,0,0,0,1,7,0,3.080
26,3,0,0,2,2,6,0,3.470
22,1,0,0,0,1,5,0,2.972
47,4,0,2,8,4,4,0,4.016
18,2,0,0,0,1,7,0,2.967
34,3,0,0,2,2,6,0,3.527
24,2,1,0,1,1,7,0,3.033
38,4,0,1,3,3,5,0,3.867
20,1,0,0,0,1,5,0,2.982
54,5,0,2,10,4,4,0,4.094
31,2,0,0,0,1,7,0,3.083
27,3,0,0,2,2,6,0,3.476
23,1,0,0,0,1,5,0,2.976
48,4,0,2,8,4,4,0,4.007
19,2,0,0,0,1,7,0,2.965
35,3,0,0,2,2,6,0,3.517
25,2,1,0,1,1,7,0,3.027
39,4,0,1,3,3,5,0,3.864
21,1,0,0,0,1,5,0,2.984
55,5,0,2,10,4,4,0,4.088
32,2,0,0,0,1,7,0,3.086
28,3,0,0,2,2,6,0,3.479
23,1,0,0,0,1,5,0,2.975
49,4,0,2,8,4,4,0,4.006
20,2,0,0,0,1,7,0,2.964
36,3,0,0,2,2,6,0,3.516
24,2,1,0,1,1,7,0,3.026
40,4,0,1,3,3,5,0,3.861
22,1,0,0,0,1,5,0,2.983
56,5,0,2,10,4,4,0,4.087
33,4,0,1,3,3,5,0,3.863
20,2,1,0,1,1,7,0,3.030
26,3,0,0,2,2,6,0,3.450
18,1,0,0,0,1,5,0,2.954
45,5,0,2,10,4,4,0,4.111
22,2,0,0,0,1,7,0,3.080
30,3,0,0,2,2,6,0,3.556
23,4,0,0,1,2,7,0,3.440
40,5,0,1,4,3,5,0,3.975
25,2,0,0,0,1,7,0,3.048
26,3,0,0,2,2,6,0,3.457
19,1,0,0,0,1,5,0,2.956
44,4,0,2,8,4,4,0,4.043
16,2,0,0,0,1,7,0,2.981
31,3,0,0,2,2,6,0,3.548
21,2,1,0,1,1,7,0,3.044
35,4,0,1,3,3,5,0,3.878
17,1,0,0,0,1,5,0,2.968
51,5,0,2,10,4,4,0,4.105
28,2,0,0,0,1,7,0,3.064
24,3,0,0,2,2,6,0,3.460
20,1,0,0,0,1,5,0,2.960
43,4,0,2,8,4,4,0,4.036
15,2,0,0,0,1,7,0,2.978
32,3,0,0,2,2,6,0,3.544
22,2,1,0,1,1,7,0,3.041
36,4,0,1,3,3,5,0,3.875
18,1,0,0,0,1,5,0,2.970
52,5,0,2,10,4,4,0,4.102
29,2,0,0,0,1,7,0,3.070
25,3,0,0,2,2,6,0,3.463
21,1,0,0,0,1,5,0,2.963
46,4,0,2,8,4,4,0,4.030
17,2,0,0,0,1,7,0,2.972
33,3,0,0,2,2,6,0,3.536
23,2,1,0,1,1,7,0,3.038
37,4,0,1,3,3,5,0,3.872
19,1,0,0,0,1,5,0,2.975
53,5,0,2,10,4,4,0,4.099
30,2,0,0,0,1,7,0,3.073
26,3,0,0,2,2,6,0,3.466
22,1,0,0,0,1,5,0,2.969
47,4,0,2,8,4,4,0,4.020
18,2,0,0,0,1,7,0,2.967
34,3,0,0,2,2,6,0,3.531
24,2,1,0,1,1,7,0,3.035
38,4,0,1,3,3,5,0,3.869
20,1,0,0,0,1,5,0,2.979
54,5,0,2,10,4,4,0,4.096
31,2,0,0,0,1,7,0,3.079
27,3,0,0,2,2,6,0,3.469
23,1,0,0,0,1,5,0,2.971
48,4,0,2,8,4,4,0,4.015
19,2,0,0,0,1,7,0,2.966
35,3,0,0,2,2,6,0,3.526
25,2,1,0,1,1,7,0,3.032
39,4,0,1,3,3,5,0,3.866
21,1,0,0,0,1,5,0,2.981
55,5,0,2,10,4,4,0,4.093
32,2,0,0,0,1,7,0,3.082
28,3,0,0,2,2,6,0,3.475
24,1,0,0,0,1,5,0,2.974
49,4,0,2,8,4,4,0,4.005
20,2,0,0,0,1,7,0,2.963
36,3,0,0,2,2,6,0,3.515
25,2,1,0,1,1,7,0,3.025
40,4,0,1,3,3,5,0,3.863
22,1,0,0,0,1,5,0,2.980
56,5,0,2,10,4,4,0,4.086
33,2,0,0,0,1,7,0,3.085
29,3,0,0,2,2,6,0,3.478
24,1,0,0,0,1,5,0,2.973
50,4,0,2,8,4,4,0,4.004
21,2,0,0,0,1,7,0,2.962
37,3,0,0,2,2,6,0,3.514
26,2,1,0,1,1,7,0,3.024
41,4,0,1,3,3,5,0,3.860
23,1,0,0,0,1,5,0,2.978
57,5,0,2,10,4,4,0,4.085
34,4,0,1,3,3,5,0,3.862
21,2,1,0,1,1,7,0,3.029
27,3,0,0,2,2,6,0,3.449
19,1,0,0,0,1,5,0,2.953
46,5,0,2,10,4,4,0,4.110
23,2,0,0,0,1,7,0,3.079
31,3,0,0,2,2,6,0,3.555
24,4,0,0,1,2,7,0,3.438
41,5,0,1,4,3,5,0,3.974
26,2,0,0,0,1,7,0,3.047
27,3,0,0,2,2,6,0,3.456
20,1,0,0,0,1,5,0,2.955
45,4,0,2,8,4,4,0,4.042
17,2,0,0,0,1,7,0,2.980
32,3,0,0,2,2,6,0,3.547
22,2,1,0,1,1,7,0,3.043
36,4,0,1,3,3,5,0,3.877
18,1,0,0,0,1,5,0,2.967
52,5,0,2,10,4,4,0,4.104
29,2,0,0,0,1,7,0,3.063
25,3,0,0,2,2,6,0,3.459
21,1,0,0,0,1,5,0,2.959
44,4,0,2,8,4,4,0,4.035
16,2,0,0,0,1,7,0,2.977
33,3,0,0,2,2,6,0,3.543
23,2,1,0,1,1,7,0,3.040
37,4,0,1,3,3,5,0,3.874
19,1,0,0,0,1,5,0,2.969
53,5,0,2,10,4,4,0,4.101
30,2,0,0,0,1,7,0,3.069
26,3,0,0,2,2,6,0,3.462
22,1,0,0,0,1,5,0,2.962
47,4,0,2,8,4,4,0,4.029
18,2,0,0,0,1,7,0,2.971
34,3,0,0,2,2,6,0,3.535
24,2,1,0,1,1,7,0,3.037
38,4,0,1,3,3,5,0,3.871
20,1,0,0,0,1,5,0,2.974
54,5,0,2,10,4,4,0,4.098
31,2,0,0,0,1,7,0,3.072
27,3,0,0,2,2,6,0,3.465
23,1,0,0,0,1,5,0,2.968
48,4,0,2,8,4,4,0,4.019
19,2,0,0,0,1,7,0,2.966
35,3,0,0,2,2,6,0,3.530
25,2,1,0,1,1,7,0,3.034
39,4,0,1,3,3,5,0,3.868
21,1,0,0,0,1,5,0,2.978
55,5,0,2,10,4,4,0,4.095
32,2,0,0,0,1,7,0,3.078
28,3,0,0,2,2,6,0,3.474
24,1,0,0,0,1,5,0,2.970
49,4,0,2,8,4,4,0,4.003
20,2,0,0,0,1,7,0,2.961
36,3,0,0,2,2,6,0,3.513
26,2,1,0,1,1,7,0,3.023
40,4,0,1,3,3,5,0,3.862
22,1,0,0,0,1,5,0,2.977
56,5,0,2,10,4,4,0,4.084
33,2,0,0,0,1,7,0,3.081
29,3,0,0,2,2,6,0,3.477
25,1,0,0,0,1,5,0,2.972
50,4,0,2,8,4,4,0,4.002
21,2,0,0,0,1,7,0,2.960
37,3,0,0,2,2,6,0,3.512
27,2,1,0,1,1,7,0,3.022
41,4,0,1,3,3,5,0,3.859
23,1,0,0,0,1,5,0,2.976
57,5,0,2,10,4,4,0,4.083
34,2,0,0,0,1,7,0,3.080
30,3,0,0,2,2,6,0,3.476
25,1,0,0,0,1,5,0,2.971
51,4,0,2,8,4,4,0,4.001
22,2,0,0,0,1,7,0,2.959
38,3,0,0,2,2,6,0,3.511
28,2,1,0,1,1,7,0,3.021
42,4,0,1,3,3,5,0,3.858
24,1,0,0,0,1,5,0,2.975
58,5,0,2,10,4,4,0,4.082
35,4,0,1,3,3,5,0,3.861
22,2,1,0,1,1,7,0,3.028
28,3,0,0,2,2,6,0,3.448
20,1,0,0,0,1,5,0,2.952
47,5,0,2,10,4,4,0,4.109
24,2,0,0,0,1,7,0,3.078
32,3,0,0,2,2,6,0,3.554
25,4,0,0,1,2,7,0,3.437
42,5,0,1,4,3,5,0,3.973
27,2,0,0,0,1,7,0,3.046
28,3,0,0,2,2,6,0,3.455
21,1,0,0,0,1,5,0,2.954
46,4,0,2,8,4,4,0,4.041
18,2,0,0,0,1,7,0,2.979
33,3,0,0,2,2,6,0,3.546
23,2,1,0,1,1,7,0,3.042
37,4,0,1,3,3,5,0,3.876
19,1,0,0,0,1,5,0,2.966
53,5,0,2,10,4,4,0,4.103
30,2,0,0,0,1,7,0,3.062
26,3,0,0,2,2,6,0,3.458
22,1,0,0,0,1,5,0,2.958
45,4,0,2,8,4,4,0,4.034
17,2,0,0,0,1,7,0,2.976
34,3,0,0,2,2,6,0,3.542
24,2,1,0,1,1,7,0,3.039
38,4,0,1,3,3,5,0,3.873
20,1,0,0,0,1,5,0,2.968
54,5,0,2,10,4,4,0,4.100
31,2,0,0,0,1,7,0,3.068
27,3,0,0,2,2,6,0,3.461
23,1,0,0,0,1,5,0,2.961
48,4,0,2,8,4,4,0,4.028
19,2,0,0,0,1,7,0,2.970
35,3,0,0,2,2,6,0,3.534
25,2,1,0,1,1,7,0,3.036
39,4,0,1,3,3,5,0,3.870
21,1,0,0,0,1,5,0,2.973
55,5,0,2,10,4,4,0,4.097
32,2,0,0,0,1,7,0,3.071
28,3,0,0,2,2,6,0,3.464
24,1,0,0,0,1,5,0,2.967
49,4,0,2,8,4,4,0,4.018
20,2,0,0,0,1,7,0,2.965
36,3,0,0,2,2,6,0,3.529
26,2,1,0,1,1,7,0,3.033
40,4,0,1,3,3,5,0,3.867
22,1,0,0,0,1,5,0,2.977
56,5,0,2,10,4,4,0,4.094
33,2,0,0,0,1,7,0,3.077
29,3,0,0,2,2,6,0,3.473
25,1,0,0,0,1,5,0,2.969
50,4,0,2,8,4,4,0,4.000
21,2,0,0,0,1,7,0,2.958
37,3,0,0,2,2,6,0,3.510
28,2,1,0,1,1,7,0,3.020
41,4,0,1,3,3,5,0,3.857
23,1,0,0,0,1,5,0,2.975
57,5,0,2,10,4,4,0,4.081
34,2,0,0,0,1,7,0,3.076
30,3,0,0,2,2,6,0,3.476
26,1,0,0,0,1,5,0,2.968
51,4,0,2,8,4,4,0,3.999
22,2,0,0,0,1,7,0,2.957
38,3,0,0,2,2,6,0,3.509
29,2,1,0,1,1,7,0,3.019
42,4,0,1,3,3,5,0,3.856
24,1,0,0,0,1,5,0,2.974
58,5,0,2,10,4,4,0,4.080
35,2,0,0,0,1,7,0,3.075
31,3,0,0,2,2,6,0,3.475
27,1,0,0,0,1,5,0,2.967
52,4,0,2,8,4,4,0,3.998
23,2,0,0,0,1,7,0,2.956
39,3,0,0,2,2,6,0,3.508
30,2,1,0,1,1,7,0,3.018
43,4,0,1,3,3,5,0,3.855
25,1,0,0,0,1,5,0,2.973
59,5,0,2,10,4,4,0,4.079
36,4,0,1,3,3,5,0,3.860
23,2,1,0,1,1,7,0,3.027
29,3,0,0,2,2,6,0,3.447
21,1,0,0,0,1,5,0,2.951
48,5,0,2,10,4,4,0,4.108
25,2,0,0,0,1,7,0,3.077
33,3,0,0,2,2,6,0,3.553
26,4,0,0,1,2,7,0,3.436
