domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
12,2,0,0,0,2,3,0,2.855388542
15,5,0,0,1,2,3,0,3.189898095
24,2,0,0,3,2,15,2,3.886842188
21,1,0,0,0,1,17,0,3.3273399
13,9,0,0,1,2,3,0,3.026986833
33,5,0,0,1,5,8,0,3.942438726
17,3,1,1,0,2,10,0,3.616874606
18,4,0,0,9,2,7,1,3.836591668
24,2,0,0,0,1,21,0,3.303508855
23,4,0,0,1,3,3,0,3.588354347
8,2,3,0,0,2,11.33333333,0,3.762267391
14,4,1,0,0,2,3,0,3.324862958
12,2,0,0,0,1,8,0,3.084962501
20,2,0,0,2,2,10,1,3.821928095
25,3,0,0,1,2,5,0,3.86346519
27,5,0,0,0,5,2,0,3.472324892
16,1,9,0,37,1,13,3,3.375
18,3,0,0,0,1,14,0,3.26633264
29,2,0,0,0,2,23,0,3.509035634
20,3,0,0,0,3,3,0,3.30869497
23,2,1,0,25,2,3,0,3.642489673
11,1,0,0,13,1,7,0,3.277613437
28,4,1,0,3,3,3,0,3.770942422
28,4,0,1,5,3,9,0,4.06610894
22,3,0,1,4,3,3,0,3.503997527
15,2,0,0,16,1,11,0,3.323231429
14,2,0,0,0,2,7,0,3.182005815
18,2,3,0,1,1,6.5,0,3.614369446
17,2,0,0,55,2,3,0,3.057476076
19,2,0,0,0,1,15,0,3.826874882
24,2,1,0,2,2,3,0,3.688721876
27,8,0,3,1,5,2,0,3.574357762
14,4,0,2,1,1,10,0,3.324862958
12,2,8,0,0,1,9,0,3.418295834
35,5,1,1,19,4,6,0,4.011585432
13,4,1,0,4,2,3,0,2.87314068
13,6,1,7,8,2,3,0,3.180832987
26,4,0,0,0,4,6,0,3.671405583
22,4,0,0,1,4,3,0,3.299896391
12,1,0,0,0,1,8,0,3.084962501
22,3,1,2,11,2,9,0,3.572623664
20,3,0,0,0,2,3,0,3.28418372
20,4,0,0,0,2,10,0,3.421928095
26,3,0,0,0,2,10,0,3.74832866
14,3,0,0,36,2,4,0,3.378783493
11,3,2,0,0,2,3,0,2.845350937
20,7,1,1,2,3,3,0,3.38418372
19,4,0,0,29,3,5,0,3.681880803
27,2,0,0,0,2,3,0,3.680089354
20,3,0,0,0,2,3,0,3.546439345
33,8,0,2,26,6,3,0,4.066677074
31,2,0,0,5,2,10,5,4.106949133
26,4,4,0,7,1,6.666666667,7,3.854285872
19,1,0,0,0,1,15,0,3.431623566
21,4,1,0,1,3,3,0,3.291392876
17,2,1,0,0,1,6,0,3.4548224
39,6,2,4,4,4,6,0,3.605253823
12,2,0,0,0,2,5,0,3.251629167
38,2,2,3,18,2,5.666666667,0,3.938073895
13,3,0,0,0,2,3,0,3.026986833
27,2,0,0,0,2,15,0,3.856196298
13,2,0,0,2,1,9,1,3.546593564
13,2,0,0,1,1,9,0,3.39274741
16,2,1,0,0,1,12,0,3.5
23,1,2,0,0,1,5.666666667,0,3.410099327
14,6,1,1,2,2,3,0,3.039148672
13,2,0,0,23,2,5,0,3.085055103
12,2,0,0,0,1,8,0,3.418295834
10,1,0,2,1,1,6,1,2.921928095
22,2,1,0,0,2,3,0,3.606936732
17,5,1,2,1,2,3,0,3.572469459
18,6,1,1,2,2,3,0,3.572431251
16,4,1,0,0,2,3,0,3.327819531
16,3,1,0,2,2,3,0,3
39,7,1,3,11,5,6,3,4.141064001
11,1,0,0,0,1,7,0,3.459431619
4,1,0,0,5,1,22,0,2.789898095
9,2,1,2,77,1,6,0,3.169925001
30,2,0,0,0,2,17,0,3.939572262
21,7,0,0,3,3,3,0,3.558518613
11,2,0,1,29,1,7,0,3.277613437
21,2,4,0,0,1,17,0,3.522571589
22,3,1,0,0,1,18,0,3.788754914
13,6,1,1,1,2,3,0,3.026986833
20,1,1,0,0,1,7.5,0,3.38418372
13,3,0,2,3,1,9,0,3.39274741
20,4,0,2,0,3,4,0,3.40869497
39,2,0,0,0,1,35,0,3.906570488
32,4,0,0,0,4,3,0,3.890319531
31,7,0,0,0,3,3,0,3.643577263
24,3,0,0,4,2,13,3,4.136842188
10,1,0,0,1,1,6,1,3.321928095
25,4,0,2,18,2,19,1,3.559079571
13,2,0,0,1,1,9,0,3.39274741
13,2,0,0,0,1,10,0,3.238901257
17,6,0,0,0,1,13,0,3.572469459
14,1,0,0,0,1,10,0,3.235926351
24,3,1,1,3,1,9,0,3.403107168
12,2,2,2,38,1,8,0,3.084962501
14,1,1,0,21,1,10,0,2.985228136
28,1,0,0,0,1,24,0,3.365764637
13,2,1,1,0,1,9,0,3.180832987
13,2,0,0,0,1,9,0,3.39274741
13,2,10,2,39,1,3.5,1,3.546593564
17,1,0,1,60,1,13,0,3.146286371
15,1,1,0,0,1,11,0,3.373557262
14,3,1,4,7,2,4,0,3.378783493
14,7,1,1,2,2,3,0,2.896291529
23,2,0,0,2,1,19,0,3.708132065
26,2,0,0,0,2,13,0,3.950063756
14,2,0,0,0,2,8,0,3.378783493
36,4,1,0,0,4,6,0,3.97216346
23,1,0,1,0,1,20,0,3.642489673
21,2,0,0,0,2,3,0,3.403989446
18,1,1,0,3,1,15,3,3.530493057
10,3,0,5,9,1,6,0,2.921928095
10,2,1,0,4,1,17,0,3.689703732
28,8,1,9,6,4,2,0,3.383272673
15,2,2,2,3,2,8,2,3.373557262
12,2,0,0,24,2,3,0,3.022055209
13,2,0,0,2,1,9,0,3.39274741
25,3,1,0,0,2,12,0,3.509275071
36,6,0,0,3,6,5,0,3.877443751
15,3,0,1,2,2,8,0,3.139572262
21,4,3,0,0,2,3,0,3.725650756
11,2,0,1,26,1,7,0,3.095795255
10,1,0,0,2,1,6,0,3.121928095
28,2,0,0,0,2,15,0,3.940759833
20,3,0,0,0,2,3,0,3.68418372
10,1,0,0,0,1,6,0,2.921928095
29,2,2,0,1,2,4.666666667,1,4.116264616
16,3,0,0,0,2,9,0,3.5
13,2,0,0,2,1,9,0,3.39274741
13,3,0,0,2,2,3,0,3.026986833
11,3,2,0,0,2,3,0,2.845350937
17,7,2,1,2,2,3,0,3.572469459
14,2,0,0,0,1,10,0,3.664497779
20,2,2,0,0,1,16,0,3.446439345
24,2,0,0,2,2,11,2,3.834962501
12,3,0,0,0,2,2,0,2.918295834
14,3,0,0,0,2,7,0,3.093069208
14,2,0,0,0,1,10,0,3.378783493
21,2,0,0,0,1,17,0,3.820888851
30,7,0,2,27,5,3,0,4.00291008
23,2,0,1,2,1,19,0,3.675310869
22,2,1,0,0,2,3,0,3.697845823
25,5,0,0,0,1,22,0,3.62346519
12,2,0,1,0,1,8,0,2.584962501
11,2,0,1,27,1,7,0,3.095795255
18,1,0,0,0,1,14,0,3.836591668
15,2,0,0,0,1,11,0,3.323231429
18,2,0,0,0,1,14,0,3.503258335
22,6,0,1,0,2,3,0,3.351953074
18,3,0,0,0,2,6,0,3.614369446
24,4,0,0,27,3,5,0,3.886842188
24,1,1,0,0,1,20,0,3.349483982
39,5,0,0,7,5,3,0,4.211702142
18,2,0,0,1,1,14,1,3.794653474
10,4,1,0,6,3,18,0,3.873235826
18,5,0,2,6,2,3,0,3.239097918
41,3,0,0,2,3,21,0,4.08586992
24,2,1,0,0,2,6,0,3.855388542
13,3,0,0,0,2,2,0,3.085055103
26,4,0,0,0,3,12,0,3.488525295
27,2,0,0,18,2,16,0,3.541743521
18,3,0,1,2,2,3,0,3.197159723
20,3,1,0,0,2,3,0,3.546439345
17,3,0,0,10,3,3,0,3.057476076
18,3,1,1,0,3,3,0,3.530493057
11,2,0,1,29,1,7,0,3.095795255
21,3,0,0,1,2,15,1,3.689703732
9,2,1,0,1,1,6,0,3.169925001
23,7,1,1,0,3,3,0,3.522711956
32,3,3,1,3,3,6,0,3.780639062
19,3,0,0,19,2,3,0,3.431623566
13,10,1,2,1,6,2,0,3.89430422
29,5,0,0,32,4,3,0,3.771437029
25,5,0,0,31,4,3,0,3.68385619
12,4,0,0,9,3,2,2,3.022055209
33,5,1,0,1,5,8,0,3.942438726
25,2,1,0,0,1,21,0,3.859470571
14,7,1,1,2,2,3,0,2.896291529
9,3,1,1,5,1,5,3,2.725480557
14,2,0,0,20,1,10,2,3.664497779
11,3,0,2,4,1,7,0,3.027169118
17,2,0,0,0,1,13,0,3.263933429
11,1,0,0,0,1,8,0,3.095795255
13,2,0,0,3,1,9,0,3.39274741
18,1,0,1,20,1,14,0,3.46132014
13,1,0,0,0,1,8,0,3.546593564
26,3,1,7,2,2,3,0,3.87314068
12,1,0,0,17,1,8,0,2.918295834
21,3,1,0,0,2,3,0,3.653756708
29,5,1,0,0,4,8,0,3.745406426
15,1,0,0,26,1,11,0,3.506890596
13,2,1,0,0,1,10,0,3.026986833
15,2,0,0,0,2,3,0,3.323231429
11,4,0,1,0,2,4,0,2.913977073
14,6,1,1,2,2,3,0,3.182005815
16,2,1,0,0,1,6,0,3.625
6,2,1,0,0,1,3,0,2.584962501
20,1,2,0,21,1,16,0,3.78418372
21,3,0,0,0,1,17,0,3.725650756
14,4,0,0,0,1,10,0,2.842370993
16,3,0,2,0,1,12,0,3.452819531
23,3,0,0,0,2,3,0,3.762267391
22,2,0,1,2,2,3,0,3.538310596
9,3,0,0,0,2,2,0,2.947702779
19,2,0,0,0,2,6,0,3.431623566
17,3,0,0,17,3,3,0,3.572469459
17,3,0,0,17,3,3,0,3.572469459
33,3,1,0,0,2,3,0,4.043801695
11,6,1,1,2,1,7,0,3.095795255
6,4,0,7,32,1,3,0,2.584962501
15,2,2,0,0,1,3.333333333,0,3.640223929
20,2,0,1,0,1,16,0,3.446439345
30,3,0,0,2,2,19,0,4.006238929
18,2,0,0,0,2,12,0,3.281036113
25,2,1,0,0,2,5.5,0,3.86346519
16,2,3,0,0,1,12,0,3.155639062
24,3,0,0,0,2,4,0,3.720175521
25,3,0,0,6,2,10,3,4.40385619
13,6,1,1,2,2,3,0,3.026986833
33,3,1,0,0,3,11,0,3.657289952
13,7,1,7,8,2,3,0,2.87314068
15,5,0,0,1,2,3,0,3.189898095
16,1,0,0,21,1,12,0,3.202819531
11,2,0,1,27,1,7,0,3.095795255
16,2,1,0,16,1,13,0,3.327819531
13,4,0,0,0,2,6,0,3.238901257
24,3,2,6,18,1,10,3,3.65726823
11,1,3,0,3,1,7,0,3.095795255
29,3,2,0,0,2,5.666666667,0,3.857306857
18,3,1,0,2,2,3,0,3.683542362
6,1,0,0,2,1,3,0,2.584962501
21,2,1,0,1,2,5,0,3.499227542
17,2,0,0,0,2,3,0,3.292770194
18,2,0,0,0,1,14,0,3.725480557
11,5,0,0,1,1,7,0,3.027169118
28,5,1,3,0,3,3,0,3.79790269
14,4,0,0,0,1,10,0,2.985228136
15,4,0,1,2,3,3,0,2.955913095
27,2,2,0,1,2,4,1,3.986187965
14,1,1,0,4,1,10,0,3.378783493
36,3,0,0,1,2,26,0,3.974937501
33,1,2,0,0,1,29,0,3.628362121
20,1,1,0,1,1,16,0,3.446439345
15,4,1,0,0,1,5,0,3.506890596
15,6,1,7,8,2,3,0,2.606238929
26,4,0,0,0,2,3,0,3.825251737
16,2,0,0,0,2,8,0,3.280639062
14,4,5,0,6,1,11,0,3.664497779
13,2,0,0,2,1,9,0,3.39274741
14,2,1,0,5,2,4,4,3.235926351
13,2,0,1,2,1,9,0,3.39274741
17,5,0,0,0,3,3,0,3.175123135
26,1,0,0,0,1,22,0,3.74832866
10,1,0,0,0,1,6,0,3.121928095
13,2,0,0,4,1,9,0,3.39274741
23,5,1,0,0,4,2,0,3.827909782
12,2,1,1,7,1,8,0,3.188721876
14,2,1,0,22,1,10,0,3.324862958
15,3,2,0,0,2,3,0,3.456564762
28,3,1,0,0,2,3,0,3.9677201
11,1,0,0,19,1,7,0,3.095795255
33,9,0,0,1,6,2,0,3.596683892
14,2,1,0,0,2,3,0,2.985228136
14,2,0,0,0,1,11,0,3.093069208
11,1,0,0,1,1,7,0,3.459431619
21,4,1,0,0,1,8,0,3.308751351
15,2,0,0,5,2,4,0,2.973557262
18,5,0,0,0,2,4,0,3.530493057
30,5,0,0,0,4,6,0,3.498068512
17,3,0,0,17,3,3,0,3.572469459
19,5,0,2,8,2,12,0,3.787143961
10,5,1,1,2,1,6,0,3.321928095
31,2,3,1,2,1,8.333333333,0,3.732444601
15,1,0,0,0,1,11,0,3.506890596
13,3,0,0,0,2,6,0,3.180832987
23,4,1,1,6,4,3,0,3.708132065
33,5,2,0,1,5,8,0,3.942438726
25,2,3,0,34,2,2.5,10,3.70346519
21,2,1,0,0,1,8,0,3.880179923
23,2,0,0,1,2,10,1,3.675310869
15,1,0,0,8,1,11,0,3.323231429
13,2,0,0,89,1,9,0,3.39274741
12,2,0,0,20,1,8,0,3.084962501
24,4,0,0,32,3,5,0,3.886842188
13,4,1,0,0,1,4,0,3.334679141
10,1,1,0,26,1,6,0,2.846439345
30,2,0,0,4,2,18,2,4.081727679
16,4,0,0,6,2,3,0,3.202819531
15,4,0,0,0,3,3,0,3.006238929
32,4,1,0,0,4,7,0,3.952819531
17,2,0,0,0,2,2,0,3.499227547
14,2,1,0,14,2,3,0,2.54952346
22,2,0,0,5,2,8,5,4.004886164
11,2,1,1,29,1,7,0,3.095795255
30,4,0,0,17,3,11,0,3.739572262
12,4,0,0,0,2,2,0,3.022055209
23,1,1,0,7,1,9.5,7,3.567040217
13,2,0,0,0,1,9,0,3.334679141
13,2,0,1,24,2,6,0,3.39274741
9,2,0,0,1,1,6,0,2.947702779
20,2,0,0,1,2,9,0,3.321928095
21,3,1,0,0,1,8,0,3.617809684
18,3,0,0,1,2,3,0,3.350209029
21,6,1,0,9,2,4,0,3.499227542
11,1,0,1,6,1,8,1,3.095795255
21,5,3,0,11,2,3,0,3.653756708
20,3,2,1,32,2,3,0,3.68418372
16,5,0,2,1,2,3,0,3.327819531
17,3,0,0,2,2,3,0,3.337175341
21,3,2,0,15,2,15,15,3.43993647
15,4,0,0,1,2,3,0,3.323231429
13,2,0,0,3,1,9,0,3.39274741
29,3,0,4,32,3,10,0,3.581444788
28,2,0,0,2,2,15,2,3.79790269
17,2,0,0,0,2,11,0,3.175123135
10,4,0,0,0,2,3,0,2.721928095
13,2,0,0,0,2,3,0,2.777362795
18,3,0,0,0,3,3,0,3.377443751
14,2,0,0,9,1,10,1,3.324862958
20,2,0,0,0,1,16,0,3.78418372
16,2,1,0,0,2,4.5,0,3.375
12,5,1,7,8,1,9,0,3.418295834
21,4,0,1,0,2,3,0,3.463280518
15,2,1,0,62,1,10,0,3.189898095
16,2,0,0,1,1,12,0,3.702819531
18,2,0,0,21,2,6,0,3.413833864
18,2,0,0,0,2,3,0,3.308270835
17,2,0,0,2,2,6,0,3.734521665
19,4,0,0,0,3,3,0,3.431623566
17,2,1,0,5,1,6.5,0,3.852168724
25,7,1,1,0,3,3,0,3.78346519
11,2,0,1,25,1,7,0,3.095795255
15,3,0,0,74,2,3,0,3.106890596
16,3,0,0,0,2,9,0,3.5
28,5,0,2,1,4,6,0,3.494680368
17,3,2,2,20,2,3,0,3.572469459
14,2,0,0,19,2,3,0,3.039148672
9,4,0,1,0,3,32,0,3.625814584
16,1,3,2,3,1,13,0,3.625
29,2,1,0,0,1,25,0,3.78834134
11,3,3,0,0,2,13.75,0,3.155221529
8,1,0,0,23,1,5,0,3
22,2,0,0,0,2,3,0,3.317640006
37,4,0,0,0,4,3,0,3.580678703
18,6,1,1,2,2,11,0,3.503258335
13,6,1,7,8,2,3,0,2.81507241
13,2,0,0,3,1,9,0,3.39274741
22,3,0,0,15,2,3,0,3.572623664
9,2,0,0,0,1,5,0,2.947702779
15,3,0,0,0,2,3,0,3.323231429
13,4,1,0,2,2,3,0,3.026986833
14,5,0,6,2,1,10,0,3.378783493
27,4,0,2,2,2,3,0,3.676390633
16,3,0,0,0,1,12,0,2.905639062
24,2,1,5,8,2,5,0,3.772055209
17,3,1,0,0,2,4.5,0,3.292770194
15,3,1,0,6,2,3,0,3.006238929
13,2,0,0,2,1,9,0,3.39274741
14,4,0,0,12,3,3,3,2.645593314
32,8,1,3,4,6,2,0,3.780639062
32,3,3,0,0,3,4,0,4.054229297
10,2,0,0,0,1,15,0,3.477175233
11,2,1,0,0,2,3,0,2.663532755
36,4,1,1,4,2,8.5,0,3.895638808
25,2,1,0,0,2,3,0,3.829275071
21,4,0,0,0,3,3,0,3.427333494
20,2,0,1,0,2,10,0,3.421928095
37,1,4,0,4,1,6,0,3.892451853
33,2,1,2,27,1,14.5,27,3.467451695
21,2,1,0,0,2,3,0,3.332095399
14,2,0,0,9,1,10,1,3.324862958
27,3,1,0,1,3,8,0,3.930270372
30,5,0,2,14,3,3,0,3.28591758
25,4,0,0,3,3,10,1,4.10346519
39,5,0,0,15,4,17,13,4.182336834
24,2,0,0,0,2,3,0,3.803508855
20,2,0,0,24,1,16,0,3.821928095
33,5,1,0,1,5,8,0,3.942438726
15,3,0,1,0,2,3,0,3.323231429
13,2,0,0,1,1,9,0,3.39274741
6,3,1,0,0,2,19,0,3.784527696
14,1,1,0,0,1,5,0,3.378783493
21,3,0,0,27,3,4,0,3.748994804
13,2,0,0,2,1,9,0,3.39274741
6,3,1,0,0,2,24,0,2.931208949
9,1,0,0,5,1,5,5,2.947702779
20,4,0,0,20,2,7,0,3.58418372
6,1,0,0,0,1,3,0,2.584962501
23,3,0,0,4,2,3,0,3.675310869
26,8,1,3,1,5,2,0,3.609496334
16,3,0,0,20,2,4,0,3.25
25,3,0,0,0,1,21,0,3.73366069
11,1,0,0,19,1,7,0,3.095795255
22,5,1,1,0,1,18,0,3.55034071
19,1,0,1,0,1,15,0,3.721611724
9,6,1,1,2,1,5,0,2.641604168
23,3,2,2,0,1,19,0,3.882045108
19,2,0,0,1,1,15,0,3.787143961
21,3,1,1,0,2,3,0,3.427333494
24,3,3,0,0,2,18,0,3.522055209
27,2,1,0,1,2,3,0,3.763965743
26,3,0,1,2,2,3,0,3.902174814
23,3,0,0,7,3,3,0,3.642489673
14,2,1,0,23,2,3,0,2.985228136
22,3,2,0,2,2,3,0,3.788754914
13,2,0,0,0,1,9,0,3.026986833
25,2,3,2,7,2,3,0,3.563074189
15,1,2,0,0,1,5,0,3.506890596
29,4,0,0,0,3,3,0,3.78834134
13,2,0,0,3,1,9,0,3.39274741
16,3,1,0,0,3,3,0,3.077819531
20,3,2,1,0,2,3,0,3.38418372
13,2,0,0,0,1,9,0,3.39274741
28,2,0,1,2,2,3,0,3.69951385
24,2,0,0,1,2,15,0,3.65726823
16,3,0,0,0,3,3,0,2.983458593
18,1,1,1,24,1,14,0,3.614369446
15,3,1,3,20,2,8,0,3.189898095
29,4,0,0,0,4,3,0,3.426609443
22,1,0,0,0,1,18,0,3.663532755
13,2,0,0,3,1,9,0,3.39274741
21,7,0,0,60,2,3,0,3.403989446
24,1,1,1,5,1,20,0,3.855388542
15,2,0,0,19,2,3,0,3.189898095
26,3,3,0,23,2,7,0,3.671405583
11,2,0,0,0,1,7,0,3.277613437
27,2,0,0,0,1,23,0,4.060262039
31,2,0,0,0,2,3,0,3.735666068
16,2,0,0,0,2,10,0,3.452819531
11,3,0,1,24,2,2,0,3.095795255
14,2,0,0,7,1,10,0,3.378783493
11,1,0,0,11,1,7,0,3.095795255
10,2,0,3,6,1,7,0,3.121928095
14,2,0,0,18,2,3,0,3.182005815
14,3,0,1,0,2,3,0,3.182005815
18,3,0,0,0,2,12,0,3.308270835
19,1,0,0,0,1,15,0,3.681880803
24,2,4,0,0,1,21,0,3.90726823
25,2,0,0,26,2,3,0,3.54346519
27,7,3,0,0,4,6,0,3.717850465
20,2,4,1,0,1,16,0,3.421928095
23,4,0,0,0,2,3,0,3.567040217
14,2,0,0,21,1,10,2,3.664497779
16,5,1,0,0,1,12,0,3.327819531
14,7,1,7,8,2,4,0,3.039148672
18,3,1,0,24,2,3,0,3.683542362
13,4,1,7,8,2,2,0,3.026986833
21,1,2,1,18,1,17,0,3.558518613
15,2,0,0,0,1,10,0,3.373557262
30,2,0,0,0,2,19,0,3.736243413
32,5,1,1,1,4,6,0,3.616729297
17,2,0,1,1,2,3,0,3.292770194
27,1,1,0,25,1,23,0,3.884155095
13,6,1,1,2,2,3,0,3.026986833
11,3,1,0,0,2,14.5,0,3.58418372
10,1,0,0,23,1,7,0,2.921928095
13,2,0,0,18,1,9,0,3.546593564
23,3,2,1,3,2,4,0,3.708132065
14,7,1,1,2,2,4,0,3.039148672
16,4,1,0,1,1,12,0,3.25
17,1,0,0,0,1,13,0,3.4548224
33,5,2,0,1,5,8,0,3.942438726
24,6,2,1,0,2,3,0,3.918295834
29,2,1,3,61,1,25,0,3.702471512
20,3,2,0,0,2,3,0,3.646439345
13,6,1,7,8,2,3,0,3.026986833
13,3,1,0,0,1,9,0,3.026986833
26,2,0,0,24,1,23,0,3.320658834
13,1,0,0,16,1,9,0,3.238901257
18,4,1,1,0,2,5.5,0,3.683542362
12,2,1,0,0,1,3.5,0,2.855388542
10,4,1,0,0,2,6,0,3.526129816
28,6,0,0,0,2,3,0,3.628085279
23,2,0,0,0,2,11,0,3.882045108
25,3,0,0,0,1,22,0,3.38346519
23,7,1,1,0,3,3,0,3.402934238
32,2,3,0,0,1,6.25,0,4.051108501
11,1,0,0,16,1,7,0,3.277613437
21,4,0,0,0,3,3,0,3.522571589
13,3,0,0,0,2,7,0,3.026986833
31,3,1,0,0,3,10,0,3.517766471
20,4,0,2,27,3,3,0,3.133206219
6,1,0,0,5,1,3,0,2.584962501
6,1,0,0,0,1,3,0,2.584962501
13,6,1,2,3,2,3,0,2.565448372
24,1,0,1,0,1,20,0,3.459147917
32,2,0,0,66,2,16,10,4.116729297
20,3,0,1,5,2,3,0,2.903701696
11,2,0,0,27,2,2,0,2.913977073
36,6,0,1,0,5,4,0,3.871895669
15,2,4,0,1,2,4,0,2.973557262
17,3,1,0,0,2,3,0,3.175123135
13,2,4,0,0,1,4.5,0,3.39274741
19,2,0,0,0,2,12,0,3.22109725
