domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
19,2,0,0,0,2,11,0,3.22109725
17,2,0,3,1,1,13,0,3.292770194
18,1,1,0,0,1,6.5,0,3.683542362
21,3,3,0,38,1,17,0,3.748994804
13,3,0,1,1,2,3,0,3.026986833
43,4,1,0,0,4,3,0,3.65229557
14,6,1,1,0,2,3,0,2.753434386
17,3,0,0,17,3,3,0,3.572469459
14,4,0,0,12,3,3,3,2.842370993
16,3,1,0,0,3,3,0,2.952819531
25,2,2,0,51,2,8,2,3.86346519
28,2,0,0,0,1,24,0,3.896291529
45,6,0,1,1,6,6,0,3.90332102
17,5,0,1,5,3,3,0,3.410417253
10,5,1,1,2,1,6,0,2.846439345
27,3,1,0,5,2,4,2,3.884155095
16,1,0,0,19,1,13,0,3.375
16,2,0,0,0,2,9,0,3.327819531
17,2,0,0,0,1,13,0,3.381580488
24,3,1,1,49,2,3,0,3.323934896
34,1,1,0,5,1,14.5,0,3.973512754
20,3,2,0,0,2,3,0,3.68418372
25,5,0,0,32,4,3,0,3.68385619
30,2,2,0,0,2,7.333333333,0,3.856564762
14,4,0,6,9,2,3,0,3.324862958
11,3,0,0,0,2,3,0,2.663532755
26,8,1,3,1,5,2,0,3.609496334
33,5,1,0,1,5,8,0,3.942438726
13,3,0,0,0,1,8,0,3.238901257
17,2,1,0,19,1,6.5,0,3.4548224
17,2,0,0,51,1,13,0,3.616874606
8,2,2,0,0,1,5,0,2.75
27,6,0,0,0,5,2,0,3.472324892
17,3,0,0,9,2,6,0,3.337175341
26,2,0,0,2,2,14,2,4.008132026
17,3,0,0,14,2,3,0,3.101881223
17,2,0,0,0,1,13,0,3.028639312
18,3,1,0,0,1,6.5,0,3.572431251
25,3,0,0,0,3,3,0,3.51326969
28,2,0,0,7,2,4,0,3.940759833
11,2,0,1,28,1,7,0,3.095795255
17,1,0,0,0,1,13,0,3.337175341
23,7,1,0,1,4,2,0,3.914866304
27,8,0,3,1,5,2,0,3.394552096
33,5,1,0,1,5,8,0,3.942438726
73,11,0,0,31,11,6,0,4.199601309
36,6,1,0,0,5,6,0,3.826465891
13,5,1,7,8,1,9,0,3.39274741
26,2,1,0,0,2,3,0,3.738149333
15,7,1,1,2,2,3,0,3.189898095
17,2,0,0,0,2,8,0,3.572469459
16,8,1,1,2,3,4,0,3.202819531
108,4,3,0,27,4,5,0,4.766707845
17,2,1,2,63,1,13,0,3.337175341
24,4,3,2,1,2,3.666666667,0,3.688721876
20,3,0,0,0,3,3,0,3.546439345
24,1,0,0,0,1,21,0,3.688721876
18,3,0,0,0,2,3,0,3.308270835
12,2,0,2,21,1,8,0,3.418295834
30,4,0,0,1,4,5,0,3.647742679
22,2,2,0,2,1,19,0,3.170134892
24,3,0,2,6,2,15,0,3.803508855
9,6,1,1,2,1,5,0,2.641604168
44,2,4,0,0,2,5.8,0,4.001727858
19,2,1,0,0,1,15,0,3.787143961
10,4,0,2,1,1,6,0,3.121928095
21,2,0,0,0,1,17,0,3.630412661
21,3,9,0,0,2,3,0,3.784941827
32,1,4,0,0,1,4.8,0,4.054229297
28,4,1,0,22,3,9,0,4.06610894
15,6,0,1,53,2,3,0,3.189898095
16,6,1,1,2,2,3,0,3.452819531
23,3,0,0,0,2,13,0,4.001822826
17,7,0,2,1,3,4,0,3.337175341
17,3,0,0,0,3,3,0,3.292770194
20,2,0,0,3,2,10,0,3.921928095
73,9,2,5,33,9,6,0,4.196138862
15,1,0,0,2,1,11,0,3.506890596
16,3,0,0,1,3,3,1,3.452819531
28,5,0,0,1,4,5,0,3.583616975
32,4,2,0,4,3,3,0,3.890319531
23,3,0,0,0,2,3,0,3.762267391
16,3,1,0,0,2,9,0,3.452819531
11,2,0,0,0,2,4,0,2.913977073
33,9,0,3,1,6,2,0,3.475471771
33,8,0,2,20,6,3,0,4.006071013
22,3,0,0,2,2,7,0,3.879664005
13,8,11,0,10,1,10,0,3.39274741
11,2,0,1,13,1,8,0,3.095795255
16,3,2,2,0,1,12,0,3.327819531
10,2,1,0,1,1,7,1,3.121928095
9,3,0,0,4,1,5,3,2.725480557
16,2,2,0,15,2,3,0,3.25
11,1,3,0,4,1,7,0,3.277613437
13,3,0,0,2,2,3,0,3.026986833
39,4,0,0,2,4,3,0,3.823362475
17,4,0,0,0,2,7,0,3.572469459
24,4,0,0,17,3,8,0,3.438721876
13,7,1,1,2,2,3,0,2.661226256
34,3,1,0,0,2,3,0,3.792195194
17,2,0,0,1,1,13,0,3.175123135
35,2,1,0,3,2,9,3,4.15029266
12,3,0,0,0,2,3,0,2.855388542
17,6,1,1,0,2,3,0,3.337175341
16,6,0,0,1,2,3,0,3.280639062
19,3,0,0,0,2,3,0,3.576617645
41,3,0,0,5,2,26,2,4.473048041
13,4,0,0,10,3,2,2,2.87314068
36,6,4,2,42,2,5.666666667,0,3.808270835
12,1,0,0,0,1,9,0,3.251629167
21,4,1,0,0,3,6,0,2.974487065
12,5,1,1,2,1,8,0,3.084962501
16,1,0,0,0,1,12,0,3.077819531
11,1,0,0,0,1,7,0,2.913977073
22,3,0,0,22,2,3,0,3.629219687
10,4,2,0,1,1,2.5,0,2.921928095
15,4,0,0,6,2,3,0,3.456564762
17,3,4,0,7,3,3,0,3.175123135
15,7,1,1,2,3,4,0,3.006238929
44,5,2,0,21,3,13,0,4.081495471
29,2,0,0,0,2,3,0,3.620936065
26,3,1,0,0,3,3,0,3.565448372
14,6,1,7,8,2,3,0,3.324862958
15,3,1,0,0,2,3,0,3.323231429
25,5,0,0,34,4,3,0,3.59326969
24,2,0,2,4,2,3,0,3.772055209
27,4,0,0,0,4,3,0,3.763965743
18,1,0,0,0,1,14,0,3.419381946
11,4,1,1,16,1,7,0,3.277613437
11,6,0,0,1,2,3,0,2.663532755
14,2,0,0,0,1,11,0,3.521640636
26,4,0,0,0,2,3,0,3.738149333
27,2,1,0,0,2,8.5,0,4.060262039
20,2,0,0,0,2,3,0,3.346439345
35,2,2,0,12,2,8,0,3.911306146
26,4,0,0,7,3,6,3,4.056020968
15,1,0,0,3,1,11,3,3.323231429
14,3,4,2,23,1,10,0,3.378783493
21,3,0,0,22,3,3,0,3.594465637
32,3,0,0,0,3,3,0,4.030639062
21,2,0,0,0,1,17,0,3.784941827
25,2,0,0,4,2,13,4,4.02346519
27,4,2,1,0,3,3,0,3.485825928
7,3,0,0,0,1,4,0,2.521640636
13,1,0,1,17,1,10,0,2.81507241
26,2,1,0,4,1,10.5,0,3.45949116
19,1,0,0,0,1,16,0,3.431623566
24,3,1,0,0,3,5,0,3.355388542
14,2,1,0,0,1,4.5,0,3.664497779
17,2,0,0,0,1,13,0,3.616874606
24,2,0,0,1,2,15,0,3.636842188
20,1,0,0,0,1,16,0,3.521928095
16,2,0,0,0,2,8,0,3.452819531
6,1,0,0,0,1,3,0,2.584962501
51,4,5,0,7,3,8,5,4.257935823
16,2,2,1,26,1,5.5,0,3.5
23,6,0,0,0,3,3,0,3.522711956
24,3,1,0,0,2,4,0,3.65726823
9,3,0,1,24,1,5,0,2.419381946
16,3,1,0,19,2,2,0,3.327819531
17,6,1,0,36,3,3,0,3.292770194
18,5,0,0,11,1,14,0,3.572431251
37,4,1,0,0,3,7,0,3.725835717
21,3,0,0,1,2,11,0,2.891851946
18,6,0,0,0,3,3,0,3.197159723
9,3,0,0,0,1,5,0,3.169925001
16,2,2,1,1,2,3,0,3.452819531
25,3,0,0,0,2,4,0,3.749275071
16,5,3,0,0,2,3,0,3.452819531
11,1,1,0,0,1,3.5,0,3.027169118
11,4,2,2,4,1,7,0,3.027169118
16,2,0,0,13,2,7,0,3.625
17,2,0,0,22,2,3,0,3.292770194
16,3,0,1,0,2,3,0,3.077819531
12,1,0,0,1,1,8,0,3.188721876
18,6,1,1,2,2,3,0,3.308270835
26,2,0,0,0,2,3,0,3.825251737
13,2,0,0,0,1,9,0,3.39274741
13,3,0,2,8,1,9,0,3.026986833
20,4,0,2,4,2,3,0,3.446439345
29,2,0,0,0,2,7,0,3.952302978
151,11,1,0,55,10,3,0,4.189967069
45,5,2,3,33,5,3,0,4.008985186
11,3,0,1,0,1,8,0,3.095795255
13,4,0,0,28,3,3,3,2.87314068
9,2,1,0,0,1,6,0,2.947702779
19,7,1,1,2,2,3,0,3.576617645
12,1,0,0,0,1,8,0,3.251629167
26,2,0,0,16,2,15,7,3.979097891
39,7,1,3,26,5,6,3,4.172989963
14,4,1,7,8,2,3,0,3.182005815
13,2,2,0,1,1,9,0,3.39274741
23,6,1,1,2,4,2,0,3.294663586
48,8,0,0,0,7,5,0,3.953243357
24,4,0,0,30,3,8,0,3.438721876
20,2,0,0,19,2,3,0,3.546439345
14,2,0,0,0,2,3,0,3.324862958
18,1,0,0,1,1,14,0,3.572431251
19,1,0,0,0,1,15,0,3.511085408
31,4,0,0,0,4,3,0,4.042433004
29,2,0,0,18,2,13,0,3.83695891
14,3,1,2,42,2,4,0,3.521640636
30,4,0,0,1,4,5,0,3.647742679
37,3,2,0,8,2,9,0,4.121219244
14,3,1,0,1,2,3,0,3.182005815
25,5,0,0,39,4,3,0,3.68385619
18,1,4,0,9,1,14,0,3.683542362
65,7,0,0,56,7,6,0,4.356511276
14,1,1,0,18,1,10,0,2.985228136
13,5,0,0,1,2,3,0,2.661226256
19,3,0,0,0,2,12,0,3.155565013
13,2,0,0,2,1,9,0,3.39274741
7,1,0,1,33,1,4,0,2.521640636
30,5,0,0,0,4,6,0,3.631401845
17,4,0,0,0,3,3,0,3.410417253
65,7,0,0,53,7,6,0,4.356511276
19,3,1,0,2,2,3,0,3.471354487
33,4,0,2,8,2,3,0,3.385937878
14,6,1,1,8,2,3,0,3.039148672
31,3,0,0,0,3,3,0,3.692279682
11,1,0,0,0,1,7,0,3.277613437
5,1,0,0,0,1,2,0,2.321928095
46,3,1,0,0,3,9,0,4.033794021
22,2,0,1,2,2,3,0,3.538310596
18,3,0,0,37,2,8,0,3.725480557
15,1,1,0,0,1,11,0,3.456564762
44,3,1,0,0,3,8,0,3.934577438
25,4,0,0,9,4,3,0,3.86346519
15,3,1,0,0,2,7,0,3.506890596
18,4,2,0,26,2,3,0,3.419381946
42,4,1,0,0,4,3,0,3.410905972
27,4,0,1,1,3,3,0,3.485825928
29,1,2,0,0,1,8,0,3.456974427
25,2,1,0,7,2,5,0,3.19326969
9,1,0,0,21,1,5,0,2.947702779
14,4,2,2,45,2,5,0,3.521640636
20,4,0,0,37,3,6,0,3.58418372
21,2,0,0,0,2,15,0,3.820888851
29,3,0,2,0,2,3,0,3.728502116
21,1,2,1,18,1,17,0,3.558518613
18,1,0,0,0,1,14,0,3.239097918
13,3,0,0,31,2,3,0,3.238901257
17,2,1,3,6,1,13,0,3.4548224
22,3,0,0,2,2,7,0,3.879664005
48,11,0,3,4,8,3,0,4.095175521
14,1,0,1,17,1,11,0,3.521640636
38,2,1,0,0,2,12,0,3.865576855
122,11,0,0,55,11,6,0,4.528412278
17,5,2,6,9,2,3,0,3.572469459
10,1,0,0,16,1,7,0,2.921928095
19,2,1,0,6,1,15,0,3.721611724
12,1,2,0,39,1,8,0,3.418295834
10,4,1,0,39,1,6,0,2.921928095
17,1,0,6,63,1,13,0,3.4548224
34,2,0,0,0,2,21,0,3.892486651
74,9,1,0,0,9,6,0,4.132374272
23,6,0,1,1,2,3,0,3.849223912
16,2,2,0,1,1,5.5,0,3.452819531
14,2,0,0,20,2,3,0,2.985228136
11,1,0,0,4,1,7,0,3.277613437
23,2,0,0,0,1,19,0,3.588354347
19,3,1,0,1,3,3,0,3.431623566
13,2,0,0,1,1,9,0,3.39274741
13,3,0,0,0,2,3,0,3.026986833
16,1,0,0,1,1,12,0,3.327819531
13,2,0,0,1,1,9,0,3.39274741
24,2,2,0,4,1,6.333333333,0,3.855388542
21,2,0,0,0,2,10,0,3.820888851
24,3,0,0,1,2,3,0,3.486440502
11,2,0,1,7,1,7,0,3.095795255
33,5,1,0,1,5,8,0,3.942438726
39,3,4,1,16,3,7,0,4.141064001
39,7,1,3,29,5,6,3,4.262984194
123,12,0,0,33,11,6,0,4.68996724
15,2,0,0,4,1,12,0,3.189898095
18,4,0,0,0,2,3,0,3.683542362
22,2,0,0,0,1,18,0,3.606936732
13,7,0,0,1,2,3,0,2.661226256
20,3,0,0,0,3,3,0,3.646439345
14,6,2,1,2,2,3,0,3.324862958
89,3,0,0,41,3,8,0,4.286677112
19,4,0,0,0,3,3,0,3.286629487
15,7,1,1,3,2,3,0,3.323231429
13,2,0,0,2,1,9,0,3.39274741
13,2,0,0,0,2,3,0,2.87314068
14,2,1,1,0,1,4.5,0,3.378783493
12,2,1,0,0,1,8,0,3.251629167
16,1,0,0,0,1,12,0,3.452819531
19,2,0,0,0,2,3,0,3.431623566
10,1,0,0,0,1,6,0,3.121928095
4,3,0,0,0,2,8,0,3.446439345
9,6,0,1,1,1,5,0,2.641604168
9,1,0,1,15,1,6,0,2.947702779
9,6,1,1,2,1,5,0,2.641604168
27,6,0,0,0,5,2,0,3.472324892
37,3,0,0,1,3,3,0,3.877447622
28,3,0,0,0,3,18,0,3.628085279
13,2,0,1,19,2,6,0,3.238901257
27,1,1,0,24,1,23,0,3.884155095
13,2,1,0,1,1,10,1,3.39274741
16,3,0,3,0,2,3,0,3.452819531
13,2,0,0,4,1,9,0,3.39274741
15,7,1,1,2,2,3,0,3.189898095
24,4,0,0,25,3,5,0,3.886842188
26,6,3,0,24,1,6.666666667,0,3.844106545
26,3,1,2,64,2,3,0,3.397581911
31,4,0,0,0,4,13,0,3.711314858
19,6,1,0,0,2,3,0,3.366091329
26,6,0,2,24,4,6,0,3.854285872
39,7,1,3,11,5,6,3,4.211702142
36,6,6,1,11,3,4.2,11,4.218128821
11,2,0,1,27,1,7,0,3.095795255
26,3,0,0,0,3,9,0,3.74832866
14,2,0,0,17,1,10,2,3.664497779
17,1,0,1,0,1,13,0,3.146286371
20,3,1,3,19,2,3,0,3.546439345
21,6,0,2,41,3,3,0,3.010434089
17,2,0,0,0,2,3,0,3.4548224
25,2,3,0,10,1,4.5,0,3.86346519
27,3,0,0,0,3,12,0,4.004344446
17,2,0,0,0,1,13,0,3.616874606
12,1,0,0,0,1,8,0,3.084962501
19,2,1,0,0,1,15,0,3.681880803
26,5,2,2,10,1,6.666666667,0,3.661226256
25,4,0,0,0,1,7,0,2.845350937
29,3,1,0,0,3,4,0,4.090234012
32,3,0,0,1,3,7,1,3.733458593
19,4,3,6,15,2,8,0,3.366091329
14,1,1,0,6,1,10,0,3.378783493
13,2,0,0,3,1,9,0,3.39274741
15,2,0,0,0,2,6,0,3.006238929
13,2,0,0,3,1,9,0,3.39274741
25,5,0,0,0,3,3,0,3.59326969
16,2,0,0,7,1,12,0,3.577819531
39,3,4,0,10,3,7,0,4.284900937
19,2,0,0,1,1,15,0,3.787143961
13,2,1,0,0,1,10,0,3.238901257
18,1,0,1,23,1,14,0,3.572431251
